"[1, 2, 3, 4, 5, 3, 2, 1, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12, 0, 12, 12, 12, 12, 12, 12, 7, 8, 9, 10, 11, 9, 8, 7, 0, 1, 1, 1, 1, 0, 0, 0, 1]",0.05
"[1, 2, 3, 4, 5, 3, 2, 1, 6, 6, 6, 6, 0, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12, 0, 12, 12, 12, 12, 12, 12, 7, 8, 9, 10, 11, 9, 8, 7, 1, 1, 1, 1, 1, 1, 0, 0, 2]",0.08
"[1, 2, 3, 4, 5, 3, 2, 1, 6, 6, 6, 6, 0, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12, 9, 12, 12, 12, 12, 12, 12, 7, 8, 0, 10, 11, 9, 8, 7, 0, 1, 1, 1, 1, 0, 0, 1, 2]",-0.04
"[1, 0, 3, 4, 5, 3, 2, 1, 6, 6, 6, 6, 0, 6, 6, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12, 9, 12, 12, 12, 12, 12, 12, 7, 8, 0, 10, 11, 9, 8, 7, 1, 1, 1, 1, 1, 1, 0, 2, 3]",-0.01
"[1, 0, 3, 4, 5, 3, 2, 1, 6, 6, 6, 6, 0, 6, 6, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12, 0, 0, 0, 12, 9, 12, 12, 0, 12, 12, 12, 7, 8, 0, 10, 11, 9, 8, 7, 0, 1, 1, 1, 1, 0, 0, 0, 3]",0.05
"[1, 0, 3, 4, 5, 3, 2, 1, 6, 6, 6, 0, 0, 6, 6, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12, 0, 0, 0, 12, 9, 12, 12, 0, 12, 12, 12, 7, 8, 0, 10, 11, 9, 8, 7, 1, 1, 1, 1, 1, 1, 0, 0, 4]",0.04
"[1, 0, 3, 4, 5, 3, 2, 1, 6, 6, 6, 0, 0, 6, 6, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12, 0, 12, 0, 12, 9, 12, 12, 0, 12, 0, 12, 7, 8, 0, 10, 11, 9, 8, 7, 0, 1, 1, 1, 1, 0, 0, 0, 4]",-0.63
"[1, 0, 0, 4, 5, 3, 2, 1, 6, 6, 6, 0, 0, 6, 6, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 12, 0, 0, 12, 0, 12, 0, 12, 9, 12, 12, 0, 12, 0, 12, 7, 8, 0, 10, 11, 9, 8, 7, 1, 1, 1, 1, 1, 1, 0, 1, 5]",3.37
"[1, 0, 0, 4, 5, 3, 2, 1, 6, 6, 6, 0, 0, 6, 6, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 12, 0, 0, 12, 0, 12, 0, 12, 9, 12, 12, 0, 12, 9, 12, 7, 8, 0, 10, 11, 0, 8, 7, 0, 1, 1, 1, 1, 0, 0, 2, 5]",-7.5
"[1, 0, 0, 4, 5, 3, 2, 1, 6, 6, 6, 0, 0, 6, 6, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12, 0, 12, 0, 12, 9, 12, 12, 0, 12, 9, 12, 7, 8, 0, 3, 11, 0, 8, 7, 1, 1, 1, 1, 1, 1, 0, 0, 6]",-7.5
